,name,color,species,link
285,franni873,Red,Lenny,https://www.stuckpets.com/adopt/franni873
286,lucey41,Red,Lenny,https://www.stuckpets.com/adopt/lucey41
287,Tony_tomi,Red,Lenny,https://www.stuckpets.com/adopt/Tony_tomi
288,Chuck_Box,Split,Lenny,https://www.stuckpets.com/adopt/Chuck_Box
289,Munchies189,Split,Lenny,https://www.stuckpets.com/adopt/Munchies189
290,split344,Split,Lenny,https://www.stuckpets.com/adopt/split344
291,splitting_lenny,Split,Lenny,https://www.stuckpets.com/adopt/splitting_lenny
292,split_007,Split,Lenny,https://www.stuckpets.com/adopt/split_007
293,split_646,Split,Lenny,https://www.stuckpets.com/adopt/split_646
294,split_bird,Split,Lenny,https://www.stuckpets.com/adopt/split_bird
295,split_lenn,Split,Lenny,https://www.stuckpets.com/adopt/split_lenn
296,Split_Life,Split,Lenny,https://www.stuckpets.com/adopt/Split_Life
297,Split_Smoothie,Split,Lenny,https://www.stuckpets.com/adopt/Split_Smoothie
298,Trec_x,Split,Lenny,https://www.stuckpets.com/adopt/Trec_x
299,CindyPong,Yellow,Lenny,https://www.stuckpets.com/adopt/CindyPong
300,funleny,Yellow,Lenny,https://www.stuckpets.com/adopt/funleny
301,Silverwing1992,Yellow,Lenny,https://www.stuckpets.com/adopt/Silverwing1992
302,Smiley_Lenny,Yellow,Lenny,https://www.stuckpets.com/adopt/Smiley_Lenny
303,Sparkle_1217,Yellow,Lenny,https://www.stuckpets.com/adopt/Sparkle_1217
304,SpikeBudgie,Yellow,Lenny,https://www.stuckpets.com/adopt/SpikeBudgie
305,spooky_little_lenny,Yellow,Lenny,https://www.stuckpets.com/adopt/spooky_little_lenny
306,Sunbeam_114,Yellow,Lenny,https://www.stuckpets.com/adopt/Sunbeam_114
307,sunday949,Yellow,Lenny,https://www.stuckpets.com/adopt/sunday949
308,Sunny_Lenny,Yellow,Lenny,https://www.stuckpets.com/adopt/Sunny_Lenny
309,sweet_baby_summer,Yellow,Lenny,https://www.stuckpets.com/adopt/sweet_baby_summer
310,Tony849,Yellow,Lenny,https://www.stuckpets.com/adopt/Tony849
311,trouble_35,Yellow,Lenny,https://www.stuckpets.com/adopt/trouble_35
312,Breezy96,Blue,Wocky,https://www.stuckpets.com/adopt/Breezy96
313,breezy_116,Blue,Wocky,https://www.stuckpets.com/adopt/breezy_116
314,bubbly134,Blue,Wocky,https://www.stuckpets.com/adopt/bubbly134
315,cute_lil_katie,Blue,Wocky,https://www.stuckpets.com/adopt/cute_lil_katie
316,kribyu,Blue,Wocky,https://www.stuckpets.com/adopt/kribyu
317,kriiihf,Blue,Wocky,https://www.stuckpets.com/adopt/kriiihf
318,krinanp,Blue,Wocky,https://www.stuckpets.com/adopt/krinanp
319,Krisstima,Blue,Wocky,https://www.stuckpets.com/adopt/Krisstima
320,PriscilAngel,Blue,Wocky,https://www.stuckpets.com/adopt/PriscilAngel
